Question,Answer
고등학생인데 학교를 그만두고 싶어요. 그래도 추후에 검정고시를 볼 수 있나요?,"네, 학교 밖 청소년 지원제도에서는 학교를 그만둔 후에 검정고시를 준비하고 치를 수 있는 지원을 제공합니다. 꿈드림센터에 문의하여 관련 정보를 얻어보시기 바랍니다. 이와 관련한 제도는 학교 밖 청소년 지원입니다. 참고해주세요."
"학교 다니기 힘든 상황인데, 직업체험이나 취업에 도움을 줄 수 있는 곳이 있나요?","네, 학교 밖 청소년을 위해 꿈드림센터를 통해 직업 체험 및 취업을 지원하는 프로그램이 준비되어 있습니다. 이와 관련한 제도는 학교 밖 청소년 지원입니다. 참고해주세요."
"학교 안 다니는 친구가 있는데, 심리상담 같은 건 어디서 받을 수 있나요?","꿈드림센터에서는 학교 밖 청소년을 대상으로 한 심리상담, 가족관계 개선 등의 상담 서비스를 제공하고 있습니다. 친구가 해당 센터를 방문하거나 누리집에서 상담을 신청할 수 있습니다. 이와 관련한 제도는 학교 밖 청소년 지원입니다. 참고해주세요."
자퇴하고 나서 다시 학교에 다닐 수 있는 기회도 있을까요?,학교 밖 청소년을 지원하는 제도를 통해 자퇴 후 다시 학교로 복귀할 수 있도록 재취학 및 재입학 지원 서비스를 받을 수 있습니다. 자세한 사항은 꿈드림센터 누리집에서 확인하실 수 있습니다. 이와 관련한 제도는 학교 밖 청소년 지원입니다. 참고해주세요.
더 이상 학교에 다니지 않게 된 청소년은 어떤 자립 지원을 받을 수 있나요?,"학교 밖 청소년을 대상으로 생활지원, 문화공간 이용, 의료 지원, 정서 지원 등 자립을 위한 다양한 서비스를 제공합니다. 자세한 내용은 꿈드림센터를 통해 확인하실 수 있습니다. 이와 관련한 제도는 학교 밖 청소년 지원입니다. 참고해주세요."
"친구가 학교를 다니지 않은 지 오랜 시간이 지났는데, 이제 용기내서 학업을 이어가고 싶어해요. 어떻게 도와줄 수 있을까요?",친구께서는 지역별 꿈드림센터를 방문하심으로써 교육지원 서비스를 포함해 다양한 지원을 받으실 수 있습니다. 상담을 통해 적합한 서비스를 안내받는 것이 좋습니다. 이와 관련한 제도는 학교 밖 청소년 지원입니다. 참고해주세요.
학교를 다니지 않는 청소년이 문화활동에 참여하고 싶다면 어떻게 해야 하나요?,꿈드림센터를 통해 학교 밖 청소년 문화공간 지원 등 다양한 문화활동에 참여할 수 있는 기회를 제공받을 수 있습니다. 지원 프로그램에 대한 자세한 정보는 센터 누리집에서 확인하실 수 있습니다. 이와 관련한 제도는 학교 밖 청소년 지원입니다. 참고해주세요.
"고등학교 다니던 중에 제적되었는데, 진로에 대해 상담 받을 수 있는 곳이 있나요?","학교를 더 이상 다니지 않는 청소년들이 진로 상담을 포함하여 심리상담, 직업체험 등을 받을 수 있는 꿈드림센터를 통한 지원이 가능합니다. 이와 관련한 제도는 학교 밖 청소년 지원입니다. 참고해주세요."
학업중단을 고민하고 있는 친구가 학교 밖 청소년 지원 프로그램을 이용할 수 있나요?,학업중단을 고려하고 있는 경우에도 꿈드림센터를 방문해 학업중단 숙려제 참여 지원을 포함하여 상담과 지원 서비스를 받을 수 있습니다. 자세한 안내는 꿈드림센터 누리집이나 청소년전화를 통해 확인해보실 수 있습니다. 이와 관련한 제도는 학교 밖 청소년 지원입니다. 참고해주세요.
부모가 아이들에게 성교육을 위해 어디로 연락해야 하나요?,여성가족부에 연락하여 지역별 청소년성문화센터에 예약 신청을 하시면 됩니다. 이와 관련한 제도는 <<청소년성문화센터>>입니다. 참고해주세요.
학교에서 학생들을 대상으로 한 성범죄 예방교육을 받으려면 어떻게 해야 하나요?,시도 청소년성문화센터에 연락하여 학교 및 관련 시설로 찾아가는 성교육을 신청하실 수 있습니다. 이와 관련한 제도는 <<청소년성문화센터>>입니다. 참고해주세요.
청소년이 성에 대해 궁금한 점이 있을 때 어디로 문의하면 좋을까요?,여성가족부에 문의하시거나 가까운 청소년성문화센터로 예약 신청을 하시면 도움을 받을 수 있습니다. 이와 관련한 제도는 <<청소년성문화센터>>입니다. 참고해주세요.
아동·청소년이 성교육을 받을 수 있는 곳은 어디인가요?,지역별 청소년성문화센터에서 아동·청소년을 위한 맞춤형 성교육을 제공합니다. 이와 관련한 제도는 <<청소년성문화센터>>입니다. 참고해주세요.
성 문제로 고민하는 청소년이 도움을 받으려면 어떻게 해야 하나요?,가까운 청소년성문화센터에 연락하여 상담 및 교육을 받으실 수 있습니다. 이와 관련한 제도는 <<청소년성문화센터>>입니다. 참고해주세요.
청소년을 대상으로 한 성교육은 어떤 내용을 다루나요?,"연령별, 대상별로 성교육 및 성범죄 예방교육을 실시합니다. 이와 관련한 제도는 <<청소년성문화센터>>입니다. 참고해주세요."
아이가 다니는 학교에 성교육 강사를 초청하고 싶어요. 어떻게 해야 합니까?,학교의 위치에 따른 청소년성문화센터에 요청하여 찾아가는 성교육 프로그램을 신청할 수 있습니다. 이와 관련한 제도는 <<청소년성문화센터>>입니다. 참고해주세요.
성교육 관련 정보를 어디서 얻을 수 있을까요?,여성가족부의 공식 웹사이트 또는 시도별 청소년성문화센터를 통해 정보를 얻으실 수 있습니다. 이와 관련한 제도는 <<청소년성문화센터>>입니다. 참고해주세요.
청소년성문화센터의 성교육 프로그램에 참여하려면 무엇을 해야 하나요?,해당 지역 청소년성문화센터에 예약 신청을 하여 참여할 수 있습니다. 이와 관련한 제도는 <<청소년성문화센터>>입니다. 참고해주세요.
학생들에게 성에 대한 올바른 가치관을 심어주고 싶어요. 지원 가능한 프로그램이 있나요?,청소년성문화센터에서 제공하는 맞춤형 성교육 프로그램을 통해 지원받으실 수 있습니다. 이와 관련한 제도는 <<청소년성문화센터>>입니다. 참고해주세요.
만에 하나 내가 알고 있는 아이가 집에서 학대를 받는 것 같은 데 어디에 도움을 청할 수 있나요?,"아이가 학대를 받고 있다고 의심되는 경우, 즉시 아동학대 신고전화(☎112) 또는 보건복지상담센터(☎129)로 신고하실 수 있습니다. 신고자의 비밀은 보장되고 필요 시 신변 보호를 받을 수 있습니다. 이와 관련한 제도는 학대피해아동 보호 및 지원입니다. 참고해주세요."
"제가 교사인데, 학교에서 아동들의 학대에 관련된 신호를 보았어요. 신고하지 않을 경우 어떤 처벌을 받나요?","교사는 아동학대 신고의무자에 해당되므로, 학대가 의심될 경우 반드시 신고해야 합니다. 정당한 사유 없이 신고를 하지 않을 경우, 1,000만 원 이하의 과태료 부과 대상이 될 수 있습니다. 이와 관련한 제도는 학대피해아동 보호 및 지원입니다. 참고해주세요."
"아이가 부모에 의해 정서적으로 학대 받는 것 같은데, 이런 경우에는 어떻게 해야 하나요?",정서적 학대도 매우 심각한 아동학대 범주에 속합니다. 이런 경우에도 아동학대 신고전화(☎112) 또는 보건복지상담센터(☎129)로 즉시 신고해야 합니다. 신고 후에는 학대피해아동에 대한 상담 및 심리치료 지원을 받을 수 있습니다. 이와 관련한 제도는 학대피해아동 보호 및 지원입니다. 참고해주세요.
아이를 보호해야 할 필요가 있어요. 어디로 연락해야 하나요?,"긴급한 보호가 필요한 경우, 아동보호전문기관에 연락하여 학대피해아동쉼터의 보호 및 지원을 요청하실 수 있습니다. 이곳에서는 아동에게 필요한 숙식을 제공하고, 심리적 안정을 위한 상담과 심리치료 같은 서비스를 받을 수 있습니다. 이와 관련한 제도는 학대피해아동 보호 및 지원입니다. 참고해주세요."
주변에서 학대받는 아이를 발견했어요. 신고할 때 특별히 어떤 정보를 제공해야 하나요?,"학대피해 의심 아동, 학대행위자, 학대 의심 상황과 관련된 모든 정보를 신고 시에 제공하는 것이 도움이 됩니다. 목격자의 인적사항은 철저히 비밀이 보장되며, 필요한 경우 신변 보호도 가능합니다. 이와 관련한 제도는 학대피해아동 보호 및 지원입니다. 참고해주세요."
제 아이가 학교에서 따돌림을 당하고 있어요. 학교 외부에서 도움을 받을 수 있는 곳이 있을까요?,학교 외부에서도 학대피해아동에 대한 상담 및 심리치료 지원이 가능한 아동보호전문기관에 도움을 요청할 수 있습니다. 해당 기관은 학대피해아동과 가족에게 필요한 서비스를 제공합니다. 이와 관련한 제도는 학대피해아동 보호 및 지원입니다. 참고해주세요.
아동학대 신고의무자는 구체적으로 어떤 직업들에 해당되나요?,"아동학대 신고의무자는 의료인, 교사, 사회복지시설 종사자, 보육교직원, 학원 종사자 등 직무상 아동학대를 발견할 수 있는 다양한 직업군에 해당됩니다. 이들은 학대가 의심만 되어도 신고의 의무가 있습니다. 이와 관련한 제도는 학대피해아동 보호 및 지원입니다. 참고해주세요."
원가정으로 돌아가기 힘든 아동은 어떻게 지원받나요?,"원가정으로 돌아가기 힘든 학대피해아동은 아동보호전문기관을 통해 학대피해아동쉼터에 보호될 수 있으며, 상담 및 심리치료, 건강검진 및 치료와 같은 서비스를 지원받습니다. 또한 일상생활 지원, 학업지도 및 문화 체험 지원을 받을 수 있습니다. 이와 관련한 제도는 학대피해아동 보호 및 지원입니다. 참고해주세요."
학대피해아동 보호를 위해 직접 무엇을 할 수 있나요?,"학대피해아동을 발견하신 경우 즉시 아동학대신고전화(☎112) 또는 보건복지상담센터(☎129)로 신고하실 수 있으며, 해당 아동과 가족에 대한 지원 요청도 가능합니다. 커뮤니티나 지역 사회에서 이러한 정보를 공유하여 인식 제고에도 기여할 수 있습니다. 이와 관련한 제도는 학대피해아동 보호 및 지원입니다. 참고해주세요."
"저는 학원 강사인데, 학생 중 한명이 집에서 방임을 받고 있는 것 같습니다. 방임도 학대에 포함되나요?","네, 방임도 아동학대의 한 형태로 간주되며 이 경우 역시 신고의무가 있습니다. 아동이 필요한 의식주를 제공받지 못하거나 학교나 병원 이용이 소홀할 경우, 비위생적 환경에 노출되어 있다면 그것은 방임으로 간주됩니다. 즉시 아동학대 신고전화나 보건복지상담센터로 신고해주세요. 이와 관련한 제도는 학대피해아동 보호 및 지원입니다. 참고해주세요."
"기초생활수급 가정의 중학생 아이가 있는데, 학교에서 우유를 지원받을 수 있나요?",기초생활수급자 가정의 초중고 학생에게는 학기 중과 방학 중 우유를 지원하는 제도가 있습니다. 이와 관련한 제도는 학교 우유급식입니다. 참고해주세요.
"저는 한부모가족인데, 내 자녀도 학교에서 무료로 우유를 받을 수 있나요?","네, 한부모가족 가정의 자녀는 학교 우유급식 제도의 지원 대상입니다. 해당 서비스를 신청하시면 됩니다. 이와 관련한 제도는 학교 우유급식입니다. 참고해주세요."
"우리 아이가 특수교육대상인데, 학교 우유를 지원받는 방법이 있나요?","특수교육대상자도 학교 우유급식 제도를 이용할 수 있으며, 소속 학교에서 제공하는 신청서를 통해 신청하시면 됩니다. 이와 관련한 제도는 학교 우유급식입니다. 참고해주세요."
차상위계층 학생도 우유 급식 혜택을 주나요?,"네, 차상위계층 학생도 학교 우유급식의 혜택을 받을 수 있습니다. 학교에서 제공하는 신청서류를 제출하여 신청 가능합니다. 이와 관련한 제도는 학교 우유급식입니다. 참고해주세요."
학교에서 우유를 지원받을 수 있는 기준이 있나요?,"가정의 경제적 형편이 어렵거나 사회적 배려가 필요한 경우, 예를 들어 기초생활수급자, 차상위계층, 한부모가족, 특수교육대상자 또는 국가유공자 자녀 등이 지원받을 수 있는 기준입니다. 이와 관련한 제도는 학교 우유급식입니다. 참고해주세요."
우유급식의 지원 기간은 얼마나 되나요?,"학교 우유급식 제도는 연간 약 250일 동안, 학기 중과 방학 중에 우유를 지원합니다. 이와 관련한 제도는 학교 우유급식입니다. 참고해주세요."
우유급식 신청은 어떻게 하나요?,소속 학교에서 배부하는 우유급식 신청서를 받아 작성 후 제출하면 신청이 완료됩니다. 이와 관련한 제도는 학교 우유급식입니다. 참고해주세요.
우유급식은 얼마나 지원되나요?,지원되는 우유의 양은 200ml 기준으로 가격은 480원 이내입니다. 이와 관련한 제도는 학교 우유급식입니다. 참고해주세요.
우유 지원 신청은 학생 본인이 할 수 있나요?,우유급식 신청은 학생 본인이 소속 학교에서 신청서를 받아 작성 후 제출함으로써 할 수 있습니다. 이와 관련한 제도는 학교 우유급식입니다. 참고해주세요.
우유급식 관련 문의는 어디로 해야 하나요?,우유급식과 관련된 문의는 자녀가 다니는 학교로 하시면 됩니다. 이와 관련한 제도는 학교 우유급식입니다. 참고해주세요.
시설을 떠난 청소년이 생활에 필요한 자립 지원을 어떻게 신청할 수 있나요?,"퇴소한 청소년은 청소년자립지원관에 전화로 신청하거나 청소년쉼터, 청소년회복지원시설에서 추천 요청을 할 수 있습니다. 이와 관련한 제도는 청소년자립지원관입니다. 참고해주세요."
'청소년자립지원관'에서 지원받는 기간을 연장할 수 있는 조건은 무엇인가요?,"지원 기간은 기본적으로 1년이며, 필요한 경우 사례심의를 통해 6개월씩 최대 2회까지 연장할 수 있습니다. 이와 관련한 제도는 청소년자립지원관입니다. 참고해주세요."
도움을 받고자 하는 청소년이 주거지 인근에 없는 경우 어떻게 상담을 받을 수 있나요?,"청소년은 전화, 문자, 카카오톡, 페이스북, 사이버(인터넷 채팅) 등 다양한 수단을 통해 상담을 받을 수 있으며, 지역번호에 1388을 더해 전화상담을 이용할 수도 있습니다. 이와 관련한 제도는 청소년자립지원관입니다. 참고해주세요."
청소년자립지원관의 자세한 정보는 어디서 확인할 수 있나요?,청소년자립지원관의 정보는 여성가족부 누리집이나 한국청소년상담복지개발원 누리집에서 확인하실 수 있습니다. 이와 관련한 제도는 청소년자립지원관입니다. 참고해주세요.
서울 지역에서 '청소년자립지원관'은 몇 군데 운영 중인가요?,2023년 2월 현재 서울 지역에서는 2개소의 청소년자립지원관이 운영되고 있습니다. 이와 관련한 제도는 청소년자립지원관입니다. 참고해주세요.
청소년들이 자립을 위해 어떤 종류의 사례관리를 받을 수 있나요?,"청소년은 일상생활, 학업, 취업 및 주거 등 다양한 자립 목적의 개인별 사례관리를 받을 수 있습니다. 이와 관련한 제도는 청소년자립지원관입니다. 참고해주세요."
자립을 위해 도움이 필요한 청소년의 전화 상담은 어떻게 이루어지나요?,청소년 전화 상담은 1388 또는 지역번호와 1388을 결합하여 전화하여 진행할 수 있습니다. 이와 관련한 제도는 청소년자립지원관입니다. 참고해주세요.
퇴소 청소년이 청소년자립지원관의 자립 계획 수립을 위해 필요한 정보는 어떤 것인가요?,"자립 계획을 수립하기 위해서는 청소년의 일상생활, 학업, 취업, 주거 상황 등에 대한 정보가 필요합니다. 이와 관련한 제도는 청소년자립지원관입니다. 참고해주세요."
청소년상담1388의 카카오톡이나 페이스북 상담은 어디에서 찾을 수 있나요?,'청소년상담1388'을 카카오톡 또는 페이스북에서 검색하면 해당 상담 서비스에 접속할 수 있습니다. 이와 관련한 제도는 청소년자립지원관입니다. 참고해주세요.
청소년자립지원관에서 제공하는 지원중 주거지원이 포함되어 있나요?,"네, 청소년자립지원관에서는 퇴소 청소년의 독립생활에 필요한 주거지원도 제공합니다. 이와 관련한 제도는 청소년자립지원관입니다. 참고해주세요."
만약 가정에서 문제를 겪고 있는 15세 청소년이 쉼터에 머물길 원한다면 어떻게 연락해야 하나요?,"해당 청소년은 청소년상담복지센터에 전화하거나 방문하여 신청할 수 있습니다. 또한 1388로 전화 또는 문자상담을 하거나, 카카오톡, 페이스북, 웹사이트를 통한 상담도 가능합니다. 이와 관련한 제도는 <<청소년쉼터>>입니다. 참고해주세요."
가족 문제로 집을 떠난 18세 청소년이 쉼터에 입소한 후에 직업을 찾고 싶어합니다. 어떤 도움을 받을 수 있나요?,"쉼터에 입소한 청소년은 직업훈련 및 취업지원, 진로탐색 및 직업지도 등을 포함한 다양한 맞춤형 서비스를 제공받을 수 있습니다. 이와 관련한 제도는 <<청소년쉼터>>입니다. 참고해주세요."
학업을 중단한 상태의 청소년이 쉼터에 입소 후 학교로 복귀하고자 할 때 어떤 지원을 받을 수 있나요?,"쉼터에 입소한 청소년은 학업복귀 지원 서비스를 받을 수 있으며, 필요한 경우 검정고시 준비와 응시도 도와받을 수 있습니다. 이와 관련한 제도는 <<청소년쉼터>>입니다. 참고해주세요."
어려움을 겪고 있는 청소년이 단기적인 도움을 필요로 할 때 일시쉼터는 어느 정도 기간 동안 보호를 제공하나요?,일시쉼터는 긴급하게 보호가 필요한 경우 최대 7일 이내 동안 청소년을 보호합니다. 이와 관련한 제도는 <<청소년쉼터>>입니다. 참고해주세요.
19세 청소년이 쉼터를 떠나고 독립을 준비한다면 어떤 후속 지원을 받을 수 있나요?,"쉼터를 2년 이상 이용하고, 퇴소 후 5년 이내인 청소년은 LH임대주택 우선지원대상으로 지원이 가능하며, 만 18세 이후 퇴소자 중 퇴소일로부터 3년 이내에, 과거 3년 동안 2년 이상 쉼터 보호를 받은 경우 자립지원수당도 지원받을 수 있습니다. 이와 관련한 제도는 <<청소년쉼터>>입니다. 참고해주세요."
위기 청소년이 쉼터에 장기적인 지원이 필요할 때 최대 어느 정도 기간까지 머무를 수 있나요?,"중장기쉼터의 경우, 최장 4년까지 청소년이 머무를 수 있도록 지원하고 있습니다. 이와 관련한 제도는 <<청소년쉼터>>입니다. 참고해주세요."
전국에 운영되고 있는 청소년쉼터를 찾아보고 싶어요. 어디서 정보를 얻을 수 있나요?,"청소년쉼터 정보는 모바일 앱 '자립해냄', 여성가족부와 한국청소년상담복지개발원의 누리집을 통해 확인할 수 있습니다. 이와 관련한 제도는 <<청소년쉼터>>입니다. 참고해주세요."
청소년을 위한 쉼터 밖에도 가족 구성원이 서비스를 받을 수 있는 방법이 있나요?,청소년쉼터는 위기청소년뿐만 아니라 가족에게도 상담과 맞춤형 서비스를 제공합니다. 가족도 청소년상담복지센터와 같은 경로로 서비스를 신청할 수 있습니다. 이와 관련한 제도는 <<청소년쉼터>>입니다. 참고해주세요.
위기 상황에 놓인 청소년이 쉼터 외에 상담을 받을 수 있는 방법은 무엇인가요?,"청소년은 전화, 문자, 카카오톡, 페이스북, 사이버상담(인터넷 채팅) 등 다양한 방법을 통해 상담을 받을 수 있습니다. 이와 관련한 제도는 <<청소년쉼터>>입니다. 참고해주세요."
쉼터를 이용하는 동안 청소년이 기본적인 생활 지원 이외에 받을 수 있는 도움에는 어떤 것들이 포함되어 있나요?,"쉼터에서는 의식주 제공뿐만 아니라 의료 및 법률상 자문 지원, 교육, 자립 등의 맞춤형 서비스를 받을 수 있습니다. 이와 관련한 제도는 <<청소년쉼터>>입니다. 참고해주세요."
"만 14세 아들이 있는데, 핸드폰 사용이 과도한 거 같아 걱정이에요. 어떤 도움을 받을 수 있나요?",공공기관에서 제공하는 인터넷치유캠프나 가족치유캠프 같은 상담 및 치유프로그램에 참여하실 수 있습니다. 지역별 청소년상담복지센터를 통해 상담 및 프로그램 신청이 가능합니다. 이와 관련한 제도는 <<청소년 인터넷•스마트폰 과의존 예방 및 해소 지원>>입니다. 참고해주세요.
"초등학교 4학년 자녀가 스마트폰에 지나치게 몰두하는데, 어디에 도움을 요청해야 하나요?",지역에 있는 청소년상담복지센터에 연락하여 상담을 받으실 수 있습니다. 자녀의 인터넷•스마트폰 과의존 정도에 따라 적합한 지원 프로그램에 참여할 수 있습니다. 이와 관련한 제도는 <<청소년 인터넷•스마트폰 과의존 예방 및 해소 지원>>입니다. 참고해주세요.
고등학생이 스마트폰 중독인 것 같아요. 치료비는 얼마나 지원받을 수 있나요?,"일반청소년의 경우 최대 40만 원의 치료비를 지원 받을 수 있습니다. 소득 기준에 따라 최대 60만 원까지 가능하니, 가까운 청소년상담복지센터에 문의해보세요. 이와 관련한 제도는 <<청소년 인터넷•스마트폰 과의존 예방 및 해소 지원>>입니다. 참고해주세요."
청소년인터넷드림마을의 상설 치유 프로그램은 어떻게 참여하나요?,"국립청소년인터넷드림마을로 직접 연락하거나, 청소년상담복지센터를 통해서 참여 신청을 할 수 있습니다. 프로그램은 1주에서 4주 과정까지 다양하니 자세한 정보는 문의해보시기 바랍니다. 이와 관련한 제도는 <<청소년 인터넷•스마트폰 과의존 예방 및 해소 지원>>입니다. 참고해주세요."
내 아이가 자주 게임에만 몰두하여 걱정이에요. 가족이 함께 참여할 수 있는 프로그램이 있나요?,"가족치유캠프라는 프로그램이 있습니다. 가족의 구성원 모두 함께 참여하여 서로의 문제를 이해하고 해결할 수 있는 기회가 될 것입니다. 기초생활수급자, 차상위 계층, 한부모 및 다문화 가족은 무료로 참가할 수 있습니다. 이와 관련한 제도는 <<청소년 인터넷•스마트폰 과의존 예방 및 해소 지원>>입니다. 참고해주세요."
"우리 가족은 중위소득 이하인데, 스마트폰 과의존으로 인한 치료비 지원은 어느 정도 받을 수 있나요?",소득인정액이 기준 중위소득 50% 이하인 사회적돌봄대상 가족인 경우 최대 60만 원까지 치료비를 지원받을 수 있습니다. 자세한 사항은 청소년상담복지센터에 문의하시면 됩니다. 이와 관련한 제도는 <<청소년 인터넷•스마트폰 과의존 예방 및 해소 지원>>입니다. 참고해주세요.
아이가 인터넷과 게임에 많은 시간을 보내요. 어떻게 하면 과의존에서 벗어날 수 있을까요?,"청소년상담복지센터에서 인터넷·스마트폰 과의존 정도를 진단평가받고, 단계별 맞춤 지원을 받으실 수 있습니다. 필요한 경우 인터넷치유캠프 같은 프로그램에 참여할 수도 있어요. 이와 관련한 제도는 <<청소년 인터넷•스마트폰 과의존 예방 및 해소 지원>>입니다. 참고해주세요."
청소년이 인터넷 사용을 줄일 수 있도록 도와주는 캠프에 대해 들었습니다. 어떻게 신청하나요?,"인터넷치유캠프는 만 19세 미만 청소년을 대상으로 하는 프로그램이며, 청소년상담복지센터를 통해 신청이 가능합니다. 캠프는 11박 12일 동안 진행되며, 자세한 사항은 관련 기관에 문의하시면 도움을 받을 수 있습니다. 이와 관련한 제도는 <<청소년 인터넷•스마트폰 과의존 예방 및 해소 지원>>입니다. 참고해주세요."
"중학교 1학년 아이가 스마트폰을 많이 사용하는데, 고위험군 치료비 지원혜택이 있나요?","청소년상담복지센터를 통해 과의존 고위험군 치료비 지원을 신청할 수 있으며, 일반 청소년은 최대 40만 원, 소셜 돌봄 대상자는 최대 60만 원을 지원받을 수 있습니다. 이에 대한 자세한 정보는 상담복지센터에 문의하시면 좋습니다. 이와 관련한 제도는 <<청소년 인터넷•스마트폰 과의존 예방 및 해소 지원>>입니다. 참고해주세요."
스마트폰 과의존이 걱정되는 10살 아이를 위해 어떤 프로그램이 있는지 알고 싶어요.,"초등학교 4학년인 아이를 위한 다양한 인터넷 및 스마트폰 과의존 상담, 치유 프로그램이 준비되어 있습니다. 국립청소년인터넷드림마을 등에서 상설로 진행하는 치유 프로그램에 대한 정보를 제공받을 수 있습니다. 자세한 방법은 청소년상담복지센터에 문의해보시기 바랍니다. 이와 관련한 제도는 <<청소년 인터넷•스마트폰 과의존 예방 및 해소 지원>>입니다. 참고해주세요."
인문100년 장학금 신청 대상에 포함되는 학생은 누구인가요?,"인문사회계열 학과에 재학 중인 국내 4년제 대학의 1학년과 3학년 재학생이 신청 대상입니다. 이들은 각각 '전공탐색(I,II)유형'과 '전공확립(I,II)유형'으로 구분하여 지원을 받을 수 있습니다. 이와 관련한 제도는 인문100년 장학금입니다. 참고해주세요."
인문100년 장학금의 Ⅰ유형 등록금 지원내용을 알려주세요.,"인문100년 장학금 Ⅰ유형의 경우, 선정된 장학생에게는 매 학기별 등록금 전액이 지원됩니다. 단, 해당 학기의 계속지원 기준을 충족해야 합니다. 이와 관련한 제도는 인문100년 장학금입니다. 참고해주세요."
인문100년 장학금의 등록금 지원을 받으려면 어떤 성적 기준을 충족해야 하나요?,등록금을 지원받기 위해서는 직전학기 백분위 90점 이상 또는 평점 기준으로는 3.6/4.5점 이상(또는 3.4/4.3점 만점 기준)을 충족해야 합니다. 이와 관련한 제도는 인문100년 장학금입니다. 참고해주세요.
인문100년 장학금 Ⅰ유형의 생활비 지원액은 얼마인가요?,"인문100년 장학금 Ⅰ유형의 생활비는 학기당 250만 원이 공통적으로 지원되며, 기초생활수급자는 추가로 학기당 250만 원이 더 지원됩니다. 이와 관련한 제도는 인문100년 장학금입니다. 참고해주세요."
인문100년 장학금의 생활비 지원을 받기 위한 성적 기준은 무엇인가요?,생활비 지원을 받기 위한 성적 기준은 직전학기 백분위 점수로 92점 이상을 달성해야 합니다. 이와 관련한 제도는 인문100년 장학금입니다. 참고해주세요.
인문100년 장학금의 계속지원을 위해 학생이 이수해야 하는 최소 학점은 몇 학점인가요?,계속지원을 받기 위해서는 학생이 직전학기에 최소 12학점 이상을 이수해야 합니다. 이와 관련한 제도는 인문100년 장학금입니다. 참고해주세요.
인문100년 장학금 지원을 신청하고 싶습니다. 어디에서 신청해야 하나요?,인문100년 장학금의 신청은 한국장학재단 누리집(https://www.kosaf.go.kr)을 통해 진행할 수 있습니다. 이와 관련한 제도는 인문100년 장학금입니다. 참고해주세요.
"인문100년 장학금과 관련하여 문의하고자 할 때, 어느 기관에 연락을 해야 하나요?",인문100년 장학금에 대한 문의는 한국장학재단으로 하시면 됩니다. 연락처는 1599-2290입니다. 이와 관련한 제도는 인문100년 장학금입니다. 참고해주세요.
Ⅱ유형 인문100년 장학금의 생활비 지원 규모를 알려주세요.,"인문100년 장학금 Ⅱ유형의 경우, 기초생활수급자에게 추가지원으로 학기당 250만 원이 지원됩니다. 이와 관련한 제도는 인문100년 장학금입니다. 참고해주세요."
인문100년 장학금의 Ⅱ유형 등록금 지원 조건에 대해 설명해주세요.,Ⅱ유형 장학금의 등록금 지원은 선정된 장학생이 매 학기 계속지원 기준을 충족할 경우 학기별 등록금 전액이 지원됩니다. 이와 관련한 제도는 인문100년 장학금입니다. 참고해주세요.
만약 제가 20살인데 학교와 가정에서 어려움을 겪고 있어 도움이 필요하다면 어떻게 해야 하나요?,청소년상담복지센터로 전화 또는 방문하여 상담과 지원을 요청하실 수 있습니다. 이와 관련한 제도는 지역사회 청소년 통합지원체계(청소년안전망)입니다. 참고해주세요.
"14살 아이가 위기 상황인 것 같은데, 어떤 기관이나 서비스로 연락해야 하나요?","청소년전화(☎1388) 또는 국번 없이 1388로 문자, 카카오톡, 페이스북을 통해 연락하시면 도움을 받으실 수 있습니다. 이와 관련한 제도는 지역사회 청소년 통합지원체계(청소년안전망)입니다. 참고해주세요."
"제 친구가 갑작스러운 가정 문제로 인해 집을 떠나야 하는 상황인데, 긴급히 도움을 줄 수 있는 곳이 어디인가요?",청소년전화 1388로 연락하거나 www.cyber1388.kr에서 채팅 및 게시판 상담을 이용하면 긴급구조 및 일시보호 서비스를 제공받을 수 있습니다. 이와 관련한 제도는 지역사회 청소년 통합지원체계(청소년안전망)입니다. 참고해주세요.
"만약 청소년이 스스로 자립해야 하는 상황이 되었을 때, 어떤 지원을 받을 수 있나요?",청소년상담복지센터를 통해 자립을 위한 맞춤형 서비스를 제공받을 수 있습니다. 이와 관련한 제도는 지역사회 청소년 통합지원체계(청소년안전망)입니다. 참고해주세요.
저희 동생이 학교에서 어떤 문제를 겪고 있어요. 어떻게 도와줄 수 있을까요?,청소년상담복지센터에 문의하여 상담 및 활동지원을 받을 수 있습니다. 이와 관련한 제도는 지역사회 청소년 통합지원체계(청소년안전망)입니다. 참고해주세요.
"제가 알 친구가 가정 폭력을 겪고 있는데, 이런 경우 어떻게 하면 좋을까요?",즉시 청소년전화 1388로 전화하거나 카카오톡이나 페이스북으로 청소년상담1388에 연락을 취해 도움을 요청할 수 있습니다. 이와 관련한 제도는 지역사회 청소년 통합지원체계(청소년안전망)입니다. 참고해주세요.
23세인데 심각한 생활 어려움을 겪고 있습니다. 이런 상황에서 누가 저를 도울 수 있나요?,"청소년상담복지센터를 방문하거나 전화, 채팅을 통해 상담을 받고 맞춤형 서비스를 이용할 수 있습니다. 이와 관련한 제도는 지역사회 청소년 통합지원체계(청소년안전망)입니다. 참고해주세요."
